torch.Size([8, 1, 256, 256]) torch.Size([8, 2, 256, 256])
2500 625
Iteration 300/2500
loss_D_fake: 0.47187
loss_D_real: 0.49779
loss_D: 0.48483
loss_G_GAN: 1.61782
loss_G_L1: 4.37009
loss_G: 5.98791

Epoch 18/30
Iteration 600/2500
loss_D_fake: 0.48151
loss_D_real: 0.50789
loss_D: 0.49470
loss_G_GAN: 1.57566
loss_G_L1: 4.29630
loss_G: 5.87196

Epoch 18/30
Iteration 900/2500
loss_D_fake: 0.48455
loss_D_real: 0.50981
loss_D: 0.49718
loss_G_GAN: 1.56871
loss_G_L1: 4.24911
loss_G: 5.81782

Epoch 18/30
Iteration 1200/2500
loss_D_fake: 0.48505
loss_D_real: 0.51108
loss_D: 0.49806
loss_G_GAN: 1.56204
loss_G_L1: 4.21255
loss_G: 5.77459

Epoch 18/30
Iteration 1500/2500
loss_D_fake: 0.48304
loss_D_real: 0.50898
loss_D: 0.49601
loss_G_GAN: 1.56522
loss_G_L1: 4.23534
loss_G: 5.80056

Epoch 18/30
Iteration 1800/2500
loss_D_fake: 0.48283
loss_D_real: 0.50760
loss_D: 0.49522
loss_G_GAN: 1.56408
loss_G_L1: 4.26685
loss_G: 5.83093

Epoch 18/30
Iteration 2100/2500
loss_D_fake: 0.48186
loss_D_real: 0.50657
loss_D: 0.49421
loss_G_GAN: 1.56873
loss_G_L1: 4.28293
loss_G: 5.85166

Epoch 18/30
Iteration 2400/2500
loss_D_fake: 0.47235
loss_D_real: 0.49464
loss_D: 0.48349
loss_G_GAN: 1.63205
loss_G_L1: 4.30462
loss_G: 5.93667
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 19/30
Iteration 300/2500
loss_D_fake: 0.47208
loss_D_real: 0.49811
loss_D: 0.48509
loss_G_GAN: 1.66252
loss_G_L1: 4.31726
loss_G: 5.97978

Epoch 19/30
Iteration 600/2500
loss_D_fake: 0.47564
loss_D_real: 0.49952
loss_D: 0.48758
loss_G_GAN: 1.63088
loss_G_L1: 4.24021
loss_G: 5.87108

Epoch 19/30
Iteration 900/2500
loss_D_fake: 0.47217
loss_D_real: 0.49654
loss_D: 0.48436
loss_G_GAN: 1.63750
loss_G_L1: 4.17340
loss_G: 5.81090

Epoch 19/30
Iteration 1200/2500
loss_D_fake: 0.47606
loss_D_real: 0.50062
loss_D: 0.48834
loss_G_GAN: 1.63425
loss_G_L1: 4.12793
loss_G: 5.76218

Epoch 19/30
Iteration 1500/2500
loss_D_fake: 0.47522
loss_D_real: 0.50011
loss_D: 0.48767
loss_G_GAN: 1.62892
loss_G_L1: 4.14734
loss_G: 5.77626

Epoch 19/30
Iteration 1800/2500
loss_D_fake: 0.46731
loss_D_real: 0.49012
loss_D: 0.47871
loss_G_GAN: 1.65826
loss_G_L1: 4.18170
loss_G: 5.83996

Epoch 19/30
Iteration 2100/2500
loss_D_fake: 0.46168
loss_D_real: 0.48379
loss_D: 0.47273
loss_G_GAN: 1.69094
loss_G_L1: 4.19659
loss_G: 5.88753

Epoch 19/30
Iteration 2400/2500
loss_D_fake: 0.46145
loss_D_real: 0.48453
loss_D: 0.47299
loss_G_GAN: 1.68800
loss_G_L1: 4.20448
loss_G: 5.89248
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 20/30
Iteration 300/2500
loss_D_fake: 0.46420
loss_D_real: 0.48111
loss_D: 0.47266
loss_G_GAN: 1.70940
loss_G_L1: 4.21629
loss_G: 5.92569

Epoch 20/30
Iteration 600/2500
loss_D_fake: 0.47194
loss_D_real: 0.48930
loss_D: 0.48062
loss_G_GAN: 1.67599
loss_G_L1: 4.14148
loss_G: 5.81747

Epoch 20/30
Iteration 900/2500
loss_D_fake: 0.46919
loss_D_real: 0.48758
loss_D: 0.47838
loss_G_GAN: 1.68241
loss_G_L1: 4.07058
loss_G: 5.75298

Epoch 20/30
Iteration 1200/2500
loss_D_fake: 0.47266
loss_D_real: 0.49162
loss_D: 0.48214
loss_G_GAN: 1.67262
loss_G_L1: 4.02520
loss_G: 5.69781

Epoch 20/30
Iteration 1500/2500
loss_D_fake: 0.47293
loss_D_real: 0.49176
loss_D: 0.48234
loss_G_GAN: 1.66428
loss_G_L1: 4.04253
loss_G: 5.70680

Epoch 20/30
Iteration 1800/2500
loss_D_fake: 0.47004
loss_D_real: 0.48668
loss_D: 0.47836
loss_G_GAN: 1.66973
loss_G_L1: 4.07157
loss_G: 5.74130

Epoch 20/30
Iteration 2100/2500
loss_D_fake: 0.46232
loss_D_real: 0.47844
loss_D: 0.47038
loss_G_GAN: 1.71156
loss_G_L1: 4.09616
loss_G: 5.80773

Epoch 20/30
Iteration 2400/2500
loss_D_fake: 0.45907
loss_D_real: 0.47641
loss_D: 0.46774
loss_G_GAN: 1.72267
loss_G_L1: 4.10920
loss_G: 5.83187
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 21/30
Iteration 300/2500
loss_D_fake: 0.46483
loss_D_real: 0.47882
loss_D: 0.47182
loss_G_GAN: 1.74545
loss_G_L1: 4.10604
loss_G: 5.85149

Epoch 21/30
Iteration 600/2500
loss_D_fake: 0.46812
loss_D_real: 0.48382
loss_D: 0.47597
loss_G_GAN: 1.71434
loss_G_L1: 4.06051
loss_G: 5.77485

Epoch 21/30
Iteration 900/2500
loss_D_fake: 0.46521
loss_D_real: 0.48426
loss_D: 0.47474
loss_G_GAN: 1.71302
loss_G_L1: 4.01237
loss_G: 5.72540

Epoch 21/30
Iteration 1200/2500
loss_D_fake: 0.46938
loss_D_real: 0.48928
loss_D: 0.47933
loss_G_GAN: 1.71060
loss_G_L1: 3.96813
loss_G: 5.67873

Epoch 21/30
Iteration 1500/2500
loss_D_fake: 0.46959
loss_D_real: 0.48766
loss_D: 0.47862
loss_G_GAN: 1.70936
loss_G_L1: 3.97914
loss_G: 5.68850

Epoch 21/30
Iteration 1800/2500
loss_D_fake: 0.46409
loss_D_real: 0.48081
loss_D: 0.47245
loss_G_GAN: 1.73701
loss_G_L1: 4.01337
loss_G: 5.75037

Epoch 21/30
Iteration 2100/2500
loss_D_fake: 0.46143
loss_D_real: 0.47782
loss_D: 0.46963
loss_G_GAN: 1.74808
loss_G_L1: 4.02614
loss_G: 5.77421

Epoch 21/30
Iteration 2400/2500
loss_D_fake: 0.45909
loss_D_real: 0.47624
loss_D: 0.46766
loss_G_GAN: 1.75673
loss_G_L1: 4.03591
loss_G: 5.79264
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 22/30
Iteration 300/2500
loss_D_fake: 0.45144
loss_D_real: 0.47425
loss_D: 0.46284
loss_G_GAN: 1.77297
loss_G_L1: 4.04799
loss_G: 5.82097

Epoch 22/30
Iteration 600/2500
loss_D_fake: 0.45908
loss_D_real: 0.48127
loss_D: 0.47017
loss_G_GAN: 1.75275
loss_G_L1: 3.97435
loss_G: 5.72710

Epoch 22/30
Iteration 900/2500
loss_D_fake: 0.45908
loss_D_real: 0.48175
loss_D: 0.47041
loss_G_GAN: 1.75340
loss_G_L1: 3.91691
loss_G: 5.67031

Epoch 22/30
Iteration 1200/2500
loss_D_fake: 0.46298
loss_D_real: 0.48591
loss_D: 0.47445
loss_G_GAN: 1.74506
loss_G_L1: 3.87615
loss_G: 5.62121

Epoch 22/30
Iteration 1500/2500
loss_D_fake: 0.46346
loss_D_real: 0.48614
loss_D: 0.47480
loss_G_GAN: 1.73423
loss_G_L1: 3.89146
loss_G: 5.62569

Epoch 22/30
Iteration 1800/2500
loss_D_fake: 0.46186
loss_D_real: 0.48359
loss_D: 0.47272
loss_G_GAN: 1.73326
loss_G_L1: 3.92004
loss_G: 5.65330

Epoch 22/30
Iteration 2100/2500
loss_D_fake: 0.46022
loss_D_real: 0.48198
loss_D: 0.47110
loss_G_GAN: 1.73921
loss_G_L1: 3.93476
loss_G: 5.67396

Epoch 22/30
Iteration 2400/2500
loss_D_fake: 0.45851
loss_D_real: 0.48079
loss_D: 0.46965
loss_G_GAN: 1.74345
loss_G_L1: 3.94548
loss_G: 5.68893
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 23/30
Iteration 300/2500
loss_D_fake: 0.45728
loss_D_real: 0.47302
loss_D: 0.46515
loss_G_GAN: 1.79374
loss_G_L1: 3.97959
loss_G: 5.77333

Epoch 23/30
Iteration 600/2500
loss_D_fake: 0.46510
loss_D_real: 0.48044
loss_D: 0.47277
loss_G_GAN: 1.76079
loss_G_L1: 3.92675
loss_G: 5.68754

Epoch 23/30
Iteration 900/2500
loss_D_fake: 0.46679
loss_D_real: 0.48235
loss_D: 0.47457
loss_G_GAN: 1.75317
loss_G_L1: 3.86983
loss_G: 5.62300

Epoch 23/30
Iteration 1200/2500
loss_D_fake: 0.46794
loss_D_real: 0.48501
loss_D: 0.47647
loss_G_GAN: 1.75081
loss_G_L1: 3.82520
loss_G: 5.57601

Epoch 23/30
Iteration 1500/2500
loss_D_fake: 0.46896
loss_D_real: 0.48621
loss_D: 0.47759
loss_G_GAN: 1.74182
loss_G_L1: 3.84125
loss_G: 5.58307

Epoch 23/30
Iteration 1800/2500
loss_D_fake: 0.46657
loss_D_real: 0.48268
loss_D: 0.47462
loss_G_GAN: 1.75262
loss_G_L1: 3.87108
loss_G: 5.62370

Epoch 23/30
Iteration 2100/2500
loss_D_fake: 0.46245
loss_D_real: 0.47916
loss_D: 0.47081
loss_G_GAN: 1.76578
loss_G_L1: 3.88251
loss_G: 5.64828

Epoch 23/30
Iteration 2400/2500
loss_D_fake: 0.46042
loss_D_real: 0.47797
loss_D: 0.46919
loss_G_GAN: 1.76901
loss_G_L1: 3.89003
loss_G: 5.65904
  0%|          | 0/2500 [00:00<?, ?it/s]

Epoch 24/30
Iteration 300/2500
loss_D_fake: 0.45050
loss_D_real: 0.47088
loss_D: 0.46069
loss_G_GAN: 1.85623
loss_G_L1: 3.92489
loss_G: 5.78112

Epoch 24/30
Iteration 600/2500
loss_D_fake: 0.45027
loss_D_real: 0.47253
loss_D: 0.46140
loss_G_GAN: 1.82269
loss_G_L1: 3.86135
loss_G: 5.68404

Epoch 24/30
Iteration 900/2500
loss_D_fake: 0.45200
loss_D_real: 0.47139
loss_D: 0.46169
loss_G_GAN: 1.81543
loss_G_L1: 3.80064
loss_G: 5.61606

Epoch 24/30
Iteration 1200/2500
loss_D_fake: 0.46189
loss_D_real: 0.48016
loss_D: 0.47102
loss_G_GAN: 1.81656
loss_G_L1: 3.75974
loss_G: 5.57630

Epoch 24/30
Iteration 1500/2500
loss_D_fake: 0.46063
loss_D_real: 0.47851
loss_D: 0.46957
loss_G_GAN: 1.81071
loss_G_L1: 3.77277
loss_G: 5.58349

Epoch 24/30
Iteration 1800/2500
loss_D_fake: 0.45625
loss_D_real: 0.47369
loss_D: 0.46497
loss_G_GAN: 1.82105
loss_G_L1: 3.80584
loss_G: 5.62690

Epoch 24/30
Iteration 2100/2500
loss_D_fake: 0.44991
loss_D_real: 0.46800
loss_D: 0.45896
loss_G_GAN: 1.83145
loss_G_L1: 3.81632
loss_G: 5.64777

Epoch 24/30
Iteration 2400/2500
loss_D_fake: 0.44699
loss_D_real: 0.46618
loss_D: 0.45659
loss_G_GAN: 1.83931
loss_G_L1: 3.82138
loss_G: 5.66069
  0%|          | 0/2500 [00:00<?, ?it/s]
